result_date;testes;positivos;pos_diaria;pos_acumulada
2020-04-24;85;1;0.011764705882352941;0.011764705882352941
2020-04-27;134;10;0.07462686567164178;0.0502283105022831
2020-04-28;177;16;0.0903954802259887;0.06818181818181818
2020-04-29;242;16;0.06611570247933884;0.06739811912225706
2020-04-30;425;18;0.042352941176470586;0.05738476011288805
2020-05-04;426;52;0.12206572769953052;0.07588985896574882
2020-05-05;482;47;0.0975103734439834;0.08117706747843734
2020-05-06;670;65;0.09701492537313433;0.08519500189322227
2020-05-07;668;72;0.10778443113772455;0.08975521305530372
2020-05-08;399;55;0.13784461152882205;0.09492988133764833
2020-05-11;734;121;0.164850136239782;0.1064835659612787
2020-05-12;541;49;0.09057301293900184;0.10475617098133655
2020-05-13;449;57;0.12694877505567928;0.10659057437407952
2020-05-14;429;56;0.13053613053613053;0.10834328612864699
2020-05-15;591;50;0.08460236886632826;0.10616862988220707
2020-05-18;621;60;0.0966183574879227;0.10533012865827796
2020-05-19;1018;179;0.17583497053045186;0.11420096403411198
2020-05-20;688;105;0.15261627906976744;0.11721152750882788
2020-05-21;633;114;0.18009478672985782;0.12144071398215045
2020-05-22;646;98;0.15170278637770898;0.12338437065022867
2020-05-23;529;90;0.17013232514177692;0.12572022291489562
2020-05-24;524;71;0.13549618320610687;0.12618126181261813
2020-05-25;745;127;0.1704697986577181;0.12896423751686908
2020-05-26;879;160;0.1820250284414107;0.13262661955241462
2020-05-27;941;158;0.16790648246546228;0.13505410938871015
2020-05-28;1208;124;0.10264900662251655;0.13242407954850846
2020-05-29;1084;169;0.1559040590405904;0.1340180360721443
2020-05-30;27;0;0.0;0.13379180994060644
2020-06-01;1477;185;0.12525389302640488;0.13307005494505494
2020-06-02;958;150;0.15657620041753653;0.1342919153553988
2020-06-03;1211;183;0.15111478117258464;0.13532915839315718
2020-06-04;991;166;0.16750756811301715;0.13687475765800697
2020-06-05;844;133;0.15758293838862558;0.13768858260383685
2020-06-06;264;2;0.007575757575757576;0.1361085556577737
2020-06-07;236;6;0.025423728813559324;0.13491991263196215
2020-06-08;1288;184;0.14285714285714285;0.13535935350756534
2020-06-09;1237;223;0.18027485852869846;0.1376270356311987
2020-06-10;1314;210;0.1598173515981735;0.1387565368971528
2020-06-11;645;36;0.05581395348837209;0.13673469387755102
2020-06-12;1230;204;0.16585365853658537;0.13802816901408452
2020-06-13;518;35;0.06756756756756757;0.1367342597844583
2020-06-14;487;25;0.0513347022587269;0.1352848928384736
2020-06-15;1356;244;0.17994100294985252;0.13729992346344547
2020-06-16;1478;218;0.14749661705006767;0.1377779187414761
2020-06-17;914;133;0.14551422319474835;0.13799586967912955
2020-06-18;1082;171;0.15804066543438078;0.1386428038777032
2020-06-19;1088;165;0.15165441176470587;0.13905180134631498
2020-06-20;556;44;0.07913669064748201;0.13810458073871876
2020-06-21;542;45;0.08302583025830258;0.13726862871384168
2020-06-22;1680;335;0.19940476190476192;0.14006044235243775
2020-06-23;1341;232;0.17300521998508575;0.1412010740472994
2020-06-24;1422;209;0.1469760900140647;0.14140558848433532
2020-06-25;1447;197;0.13614374568071874;0.141222566765222
2020-06-26;1668;222;0.13309352517985612;0.14090919596015622
2020-06-27;632;40;0.06329113924050633;0.1397918042869183
2020-06-28;559;44;0.07871198568872988;0.13902384165542062
2020-06-29;1936;338;0.17458677685950413;0.14050780239675834
2020-06-30;1860;273;0.14677419354838708;0.14074933687002653
2020-07-01;1197;120;0.10025062656641603;0.139769073665905
2020-07-02;1126;110;0.09769094138543517;0.13883232171454557
2020-07-03;1046;108;0.10325047801147227;0.13811138014527846
2020-07-04;624;66;0.10576923076923077;0.13772512392581676
2020-07-05;564;52;0.09219858156028368;0.13723893738284135
2020-07-06;1178;158;0.13412563667232597;0.13717100998314533
2020-07-07;955;132;0.1382198952879581;0.13718924034506608
2020-07-08;838;137;0.16348448687350836;0.13758425354940484
2020-07-09;842;86;0.1021377672209026;0.13705718221311766
2020-07-10;747;158;0.21151271753681392;0.13802659787705018
2020-07-11;326;27;0.08282208588957055;0.13771469176242224
2020-07-12;318;35;0.11006289308176101;0.13756312804867538
2020-07-13;1717;423;0.24635993011065813;0.14069039408042322
2020-07-14;1777;286;0.16094541361845807;0.14127554421160443
2020-07-15;1367;245;0.17922457937088515;0.1421005757180572
2020-07-16;1443;243;0.1683991683991684;0.14269056762177204
2020-07-17;1476;199;0.1348238482384824;0.14251409638737328
