metodo;sampling;TN;FP;FN;TP;Accuracy;Kappa;Sensitivity;Specificity;PPV;NPV;Precision;Recall;F1;AUC;MCC
ranger;null;8766;0;1177;0;0,881625264004828;0,0000000000000000;0,00000000000000000;1,000000000000000;NA;0,881625264004828;NA;0,00000000000000000;NA;0,500000000000000;0,0000000000000000
ranger;down;6433;2333;450;727;0,720104596198330;0,2076973476869212;0,61767204757858962;0,733858088067534;0,237581699346405;0,934621531309022;0,237581699346405;0,61767204757858962;0,34316733537880573;0,675765067823062;0,2460378528417997
ranger;up;6623;2143;470;707;0,737202051694660;0,2205267854091803;0,60067969413763811;0,755532740132329;0,248070175438596;0,933737487663894;0,248070175438596;0,60067969413763811;0,35112987335485479;0,678106217134984;0,2544840864232424
ranger;smote;6759;2007;539;638;0,743940460625566;0,2033287831223595;0,54205607476635509;0,771047227926078;0,241209829867675;0,926144149081940;0,241209829867675;0,54205607476635509;0,33385661957090529;0,656551651346217;0,2289084610228386
ranger;rose;6569;2197;472;705;0,731569948707633;0,2131376895266760;0,59898045879354289;0,749372575861282;0,242935906271537;0,932964067604034;0,242935906271537;0,59898045879354289;0,34567295905859274;0,674176517327413;0,2475384610424397
C5.0;null;8766;0;1177;0;0,881625264004828;0,0000000000000000;0,00000000000000000;1,000000000000000;NA;0,881625264004828;NA;0,00000000000000000;NA;0,500000000000000;0,0000000000000000
C5.0;down;6408;2358;454;723;0,717187971437192;0,2030777018534047;0,61427357689039930;0,731006160164271;0,234664070107108;0,933838531040513;0,234664070107108;0,61427357689039930;0,33959605448567404;0,672639868527335;0,2412064133004730
C5.0;up;6844;1922;583;594;0,748063964598210;0,1912410804551830;0,50467289719626163;0,780743782797171;0,236089030206677;0,921502625555406;0,236089030206677;0,50467289719626163;0,32168968318440289;0,642708339996716;0,2120832081572742
C5.0;smote;7199;1567;587;590;0,783365181534748;0,2370714934648942;0,50127442650807141;0,821241159023500;0,273528048215114;0,924608271256101;0,273528048215114;0,50127442650807141;0,35392921415716855;0,661257792765786;0,2527885501547274
C5.0;rose;8651;115;1084;93;0,879412652117067;0,1023810475729898;0,07901444350042480;0,986881131644992;0,447115384615385;0,888649203903441;0,447115384615385;0,07901444350042480;0,13429602888086642;0,532947787572708;0,1487460946509596
nb;null;8193;573;925;252;0,849341245097053;0,1708556012201401;0,21410365335598980;0,934633812457221;0,305454545454545;0,898552314103970;0,305454545454545;0,21410365335598980;0,25174825174825172;0,574368732906606;0,1741937521820035
nb;down;5945;2821;414;763;0,674645479231620;0,1731608032278741;0,64825828377230243;0,678188455395848;0,212890625000000;0,934895423808775;0,212890625000000;0,64825828377230243;0,32052089897080444;0,663223369584075;0,2196457915102624
nb;up;5984;2782;418;759;0,678165543598512;0,1751876058312571;0,64485981308411211;0,682637462924937;0,214346229878565;0,934707903780069;0,214346229878565;0,64485981308411211;0,32174650275540484;0,663748638004525;0,2209407675172045
