id_grid;fila;risco_fila;testes;positivos;total_users;total_risco2;total_risco
0013eeb9-e586-4ab1-ad85-58e416a8a355;6;5;1;1;7;0.86;0.83
00315bfb-8acd-439f-8652-4fda7610e431;41;23;4;1;45;0.53;0.56
003eb8a1-0940-48fa-bdb1-3a07c49834c1;221;68;48;6;269;0.28;0.31
0071302b-0ef9-4823-ac52-062119a358d7;239;56;84;7;323;0.2;0.23
009184f4-a463-43f5-b699-1411df016845;127;39;43;6;170;0.26;0.31
00aa8ce1-a0ff-499d-9b2e-ee8fbc8e0c49;20;7;3;1;23;0.35;0.35
00adcfd0-63db-4531-8d24-ab2aca14d513;43;24;3;1;46;0.54;0.56
013fc35e-1811-47e1-858c-4a9cece72709;40;22;3;1;43;0.53;0.55
014af17a-889d-48af-83b2-70000b06ab01;71;34;11;2;82;0.44;0.48
01762ace-e6aa-44b5-b905-adad9cc778bd;36;23;2;1;38;0.63;0.64
0197deaf-f745-4b87-a6ff-0eeb0aa3b860;19;8;1;1;20;0.45;0.42
01a27609-7836-4f28-9b12-7b5e3f2ea3e8;19;4;7;1;26;0.19;0.21
01aeba0e-d3ab-47d8-a943-156df044b293;204;60;38;2;242;0.26;0.29
01e421a2-b84b-49cd-90fb-d9aabb41044b;40;12;2;1;42;0.31;0.3
01f07750-2a0b-4736-b6e7-4725bcaefd97;32;4;3;3;35;0.2;0.13
01fe1891-7d32-4af1-974f-289e6cb8238d;104;23;31;2;135;0.19;0.22
0233917b-f4b1-48a6-ae7e-67858e201aa4;71;32;14;2;85;0.4;0.45
0245e099-ace8-4bd9-87e3-dcf83f711e60;46;22;12;2;58;0.41;0.48
02633d26-31c0-4213-8d16-ba53e671ddff;8;3;9;1;17;0.24;0.38
02eb241c-6214-4014-8d30-47cd3755f05e;128;71;36;7;164;0.48;0.55
02ec2961-18da-4900-8aba-298bbe660ac0;113;37;23;1;136;0.28;0.33
02f30c47-8b4b-468c-8eb5-210272f02f9d;64;22;15;2;79;0.3;0.34
02f8cab9-7713-4722-b595-8758f537ef57;36;15;2;1;38;0.42;0.42
03108484-9be1-427b-8094-f96832b127e6;37;7;16;3;53;0.19;0.19
031832d1-7248-4591-91d8-25dc8433783c;73;36;9;4;82;0.49;0.49
0322ff5b-57ed-4936-899c-3ad16859d21b;20;13;2;1;22;0.64;0.65
034df31e-13f4-41fa-9e2d-7cb41265c018;48;14;9;1;57;0.26;0.29
036d185a-0a63-4e3b-85b7-1ad9852bb319;59;34;16;1;75;0.47;0.58
0376d1aa-5f9d-4ad3-b78f-40b592a169e8;50;25;7;1;57;0.46;0.5
038db285-9129-4ddf-bb71-621102cb2902;157;20;99;5;256;0.1;0.13
039e8d10-209b-4cdc-8fd8-04c374b64c1c;18;10;2;2;20;0.6;0.56
03eb824b-a4e9-4c64-8146-8b8f7b5dccb5;7;1;2;1;9;0.22;0.14
03eeaa99-3bb0-492c-b119-efd9e631b399;78;42;9;1;87;0.49;0.54
040c6230-4e1e-4bfc-b2d9-430a7289853e;118;48;41;4;159;0.33;0.41
040ef328-354b-428c-ae56-e339db0d71ed;63;27;10;2;73;0.4;0.43
04230ea0-cfdd-4cc9-bed9-7c5518197787;43;23;9;3;52;0.5;0.53
04309485-74e7-4502-b33d-a8d75144e8b1;352;96;77;12;429;0.25;0.27
045d5366-55a1-4613-9cbc-10872905ebee;28;9;6;1;34;0.29;0.32
0460cbde-746e-4914-8849-4f043dd15a27;57;29;9;2;66;0.47;0.51
048c96d3-98f2-4b54-a94a-fb954395a197;60;27;9;1;69;0.41;0.45
04e14d30-fddb-47ff-872c-44ac0ea0ddcf;65;28;16;4;81;0.4;0.43
04e39415-1118-4af0-8d02-b9234512eccf;130;47;39;6;169;0.31;0.36
04fe713d-272c-40ce-b332-0fed69b6a323;21;15;4;1;25;0.64;0.71
053bb4f4-5262-4b58-99f1-2439d6ce5ad1;79;34;8;2;87;0.41;0.43
0551a685-46ce-43b6-8687-06e53a4ec976;115;40;17;1;132;0.31;0.35
059b3339-2f2b-48b0-888a-b56b377d9809;42;14;10;5;52;0.37;0.33
05b72db8-1cd0-4604-8688-c453de21c1c5;3;2;5;1;8;0.38;0.67
06047543-5ac8-41b4-ba8b-00f862a43a2a;21;8;4;2;25;0.4;0.38
06759206-d1ff-401d-bcf6-6d5af3497b9c;88;44;9;2;97;0.47;0.5
069dc71f-a69b-4cc4-bf91-6c13b1a3f9eb;45;20;15;8;60;0.47;0.44
069efa37-2c43-44ca-baa3-dc6101a898d7;14;4;5;1;19;0.26;0.29
06a4a69b-b92c-464c-976a-e39901a677bd;77;34;10;2;87;0.41;0.44
06cc69c8-6560-499a-8fac-aead7f6731aa;24;8;2;1;26;0.35;0.33
06fd7e65-53d0-434d-8bc4-7833fc1df65e;46;16;9;1;55;0.31;0.35
0705a375-1395-48a2-b9ae-30e8b3723767;17;9;2;1;19;0.53;0.53
073bb524-a108-457d-8c68-26163558cc1d;49;17;6;1;55;0.33;0.35
0751527a-2342-49e1-98d2-cbde648c72a5;30;12;7;1;37;0.35;0.4
078b5d54-5f55-4518-b4a1-695e9e3963d6;95;39;5;2;100;0.41;0.41
07a02666-f91e-48ec-8e7f-7427d3dc9c52;32;17;2;2;34;0.56;0.53
07d340fe-1fd6-4da2-821c-efb665d268ea;26;9;14;1;40;0.25;0.35
07d36b57-afc9-43b3-98fc-c85a0aa3cc3e;102;43;28;2;130;0.35;0.42
07ef2eba-8d13-46de-bdbd-22da2079e35a;20;7;2;1;22;0.36;0.35
0802c044-73cc-4d02-b89a-02b5527e32b6;148;42;38;6;186;0.26;0.28
0804de6c-b9c6-4dc9-ad06-bf8f871ab051;15;9;1;1;16;0.63;0.6
082c0de7-1f40-48e2-94cf-8ee150eca9e7;393;137;94;16;487;0.31;0.35
083e0e78-43f8-4376-9914-e9c182d6c593;24;13;4;1;28;0.5;0.54
087b6a76-07f8-4d4d-8c33-e75a6aedc3a4;32;17;6;2;38;0.5;0.53
08895968-65f0-4b87-883e-6cbab65b8a67;47;20;3;1;50;0.42;0.43
088c6b77-e329-49b1-b228-2e74ab18ce63;6;5;1;1;7;0.86;0.83
08c726ea-00f9-4316-a59f-e2b6bf353f22;122;37;69;11;191;0.25;0.3
091c661a-0d96-4508-8d47-b213b782b810;49;17;14;5;63;0.35;0.35
09235478-bd6d-4903-af50-aea26e3710df;26;9;10;2;36;0.31;0.35
092da1f4-31e4-471b-ab58-a46f04016d4c;63;30;10;2;73;0.44;0.48
09658c7e-3a41-49b9-8fe9-e96ff83f0664;201;66;54;3;255;0.27;0.33
098eeb9d-d3c2-404b-990f-5b06c5f147f8;48;20;4;1;52;0.4;0.42
099022d4-1094-42f6-9d8d-43e36dcb40ed;212;70;43;6;255;0.3;0.33
099f15d2-cc1a-4605-8668-4d12dd6d3c1c;71;13;42;4;113;0.15;0.18
09a6e278-4b17-425c-8bee-a3c993be2c47;140;46;26;3;166;0.3;0.33
09bc6951-c2c3-4a95-9fe9-183ef6029752;17;7;1;1;18;0.44;0.41
09e63d25-8a96-467a-999b-a2a2d5f39d36;65;27;9;4;74;0.42;0.42
09f972a8-7aee-4cdb-88e7-bb10290f2031;58;26;6;3;64;0.45;0.45
0a4294ba-a225-4321-b40c-b08f64bcc264;117;55;26;6;143;0.43;0.47
0a57f0f7-3923-4b66-b0f6-bf05ad1eec0e;38;11;7;1;45;0.27;0.29
0a8e3350-6baf-4bef-96e2-b6f4519dc46d;5;0;1;1;6;0.17;0
0a994202-0159-483b-a180-ea690b62bdb8;97;38;9;2;106;0.38;0.39
0ac20575-110e-4269-bbb0-6c883607d027;40;23;11;4;51;0.53;0.58
0ae3a508-2106-4993-84ac-41e867027645;16;12;6;1;22;0.59;0.75
0af09f24-c952-47df-a5ce-a35848e19f31;28;14;5;2;33;0.48;0.5
0af0ddfe-c6d1-4162-9d5b-b5a31ef80706;97;33;22;2;119;0.29;0.34
0b076580-ab4b-4d59-ba2a-900e50edf990;53;13;1;1;54;0.26;0.25
0b0bcd56-ede8-438e-91d3-4b8ecb8c6752;13;5;2;1;15;0.4;0.38
0b10606e-4cd8-4b59-8a03-e0b4f47c8973;4;3;1;1;5;0.8;0.75
0b30d35d-4aca-41ff-b0e7-938ddc8c1457;3;1;2;2;5;0.6;0.33
0b3192ed-8bb4-4e31-a0df-eb2c79f5df88;70;30;11;1;81;0.38;0.43
